"SYMBOL","COMPANY NAME","QUARTER END DATE","TYPE OF SUBMISSION","XBRL FILE LINK","BROADCAST DATE/TIME","REVISION DATE/TIME","REVISION REMARKS","DISSEMINATION","DIFFERENCE"
"GOKEX","Gokaldas Exports Limited","31-DEC-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/CG_1340611_09012025030745_WEB.xml","09-JAN-2025 15:07",,,"09-JAN-2025 15:07","00:00:04"
"GOKEX","Gokaldas Exports Limited","30-SEP-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/CG_100626_1272635_16102024044408_WEB.xml","16-OCT-2024 16:44",,,"16-OCT-2024 16:44","00:00:03"
"GOKEX","Gokaldas Exports Limited","30-JUN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/CG_97839_1170621_05072024114237_WEB.xml","05-JUL-2024 11:42",,,"05-JUL-2024 11:42","00:00:04"
"GOKEX","Gokaldas Exports Limited","31-MAR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/CG_96245_1092959_15042024073843_WEB.xml","15-APR-2024 19:38",,,"15-APR-2024 20:00","00:21:21"
"GOKEX","Gokaldas Exports Limited","31-DEC-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/CG_94335_1016888_11012024053403_WEB.xml","11-JAN-2024 17:45",,,"11-JAN-2024 18:15","00:29:55"
"GOKEX","Gokaldas Exports Limited","30-SEP-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/CG_92078_946488_11102023120552_WEB.xml","11-OCT-2023 12:46",,,"11-OCT-2023 13:15","00:28:39"
"GOKEX","Gokaldas Exports Limited","30-JUN-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/CG_89929_878290_10072023053001_WEB.xml","10-JUL-2023 17:47",,,"10-JUL-2023 18:15","00:27:53"
"GOKEX","Gokaldas Exports Limited","31-DEC-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/CG_86374_768719_17012023112300_WEB.xml","26-MAY-2023 14:46",,,"26-MAY-2023 15:15","00:28:47"
"GOKEX","Gokaldas Exports Limited","31-MAR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/CG_88081_819614_14042023060213_WEB.xml","14-APR-2023 18:46",,,"14-APR-2023 19:15","00:28:37"
"GOKEX","Gokaldas Exports Limited","30-SEP-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/CG_84145_732033_18102022053955_WEB.xml","18-OCT-2022 17:46",,,"18-OCT-2022 18:15","00:28:29"
"GOKEX","Gokaldas Exports Limited","30-JUN-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/CG_81200_685661_12072022044654_WEB.xml","12-JUL-2022 17:01",,,"12-JUL-2022 17:30","00:28:40"
"GOKEX","Gokaldas Exports Limited","31-MAR-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/CG_80209_644456_20042022070358_WEB.xml","19-MAY-2022 10:45",,,"19-MAY-2022 11:00","00:15:03"
"GOKEX","Gokaldas Exports Limited","30-SEP-2021",,"https://nsearchives.nseindia.com/corporate/xbrl/CG_75409_538645_19102021053102_WEB.xml","02-MAR-2022 14:33",,,"07-MAR-2022 17:08","122:35:21"
"GOKEX","Gokaldas Exports Limited","31-DEC-2021",,"https://nsearchives.nseindia.com/corporate/xbrl/CG_77431_589068_15012022061439_WEB.xml","15-JAN-2022 18:45",,,"15-JAN-2022 19:15","00:29:58"
"GOKEX","Gokaldas Exports Limited","30-JUN-2021",,"https://nsearchives.nseindia.com/corporate/xbrl/-","12-JUL-2021 20:45",,,"12-JUL-2021 21:00","00:15:30"
"GOKEX","Gokaldas Exports Limited","31-MAR-2021",,"https://nsearchives.nseindia.com/corporate/xbrl/CG_70200_426470_09042021021204_WEB.xml","09-APR-2021 14:45",,,"09-APR-2021 15:15","00:29:55"
"GOKEX","Gokaldas Exports Limited","31-DEC-2020",,"https://nsearchives.nseindia.com/corporate/xbrl/CG_68571_384535_12012021121544_WEB.xml","12-JAN-2021 12:45",,,"12-JAN-2021 13:00","00:15:05"
"GOKEX","Gokaldas Exports Limited","30-SEP-2020",,"https://nsearchives.nseindia.com/corporate/xbrl/CG_66140_334262_12102020042858_WEB.xml","12-OCT-2020 16:45",,,"12-OCT-2020 17:00","00:15:05"
"GOKEX","Gokaldas Exports Limited","30-JUN-2020",,"https://nsearchives.nseindia.com/corporate/xbrl/-","08-JUL-2020 17:45",,,"08-JUL-2020 18:15","00:30:01"
"GOKEX","Gokaldas Exports Limited","31-MAR-2020",,"https://nsearchives.nseindia.com/corporate/xbrl/CG_61986_252172_11052020055512_WEB.xml","11-MAY-2020 18:00",,,"11-MAY-2020 18:30","00:30:10"